flow_id,timestamp,time_step,scenario,source_node,destination_node,router_id,hop_count,path_length,bandwidth_mbps,traffic_interval_sec,active_users,traffic_load_mbps,utilization_percent,queue_occupancy_percent,latency_ms,jitter_ms,throughput_mbps,packet_loss_percent,tx_packets,rx_packets,lost_packets,retransmissions,flow_duration_sec,event_type,peak_hour,failure_event,sla_violation
24,2026-01-01 09:05:00,6,congestion,client_1,server_1,router_1,2,client-router-server,1.08,0.08,61,37.72,100.0,100.0,128.76,11.99,1.08,5.64,2924,2760,164,105,49.68,normal,0,0,1
25,2026-01-01 09:06:00,7,low,client_1,server_1,router_1,2,client-router-server,11.81,1.56,13,57.01,17.43,10.67,27.41,5.93,11.81,0.01,3059,3058,1,0,42.42,normal,0,0,0
26,2026-01-01 09:06:00,7,medium,client_1,server_1,router_1,2,client-router-server,4.17,0.86,20,27.87,41.04,36.93,37.07,7.86,4.17,0.01,1277,1276,1,0,15.71,normal,0,0,0
27,2026-01-01 09:06:00,7,high,client_1,server_1,router_1,2,client-router-server,2.39,0.44,46,74.62,100.0,93.99,115.91,10.39,2.39,3.93,3877,3725,152,32,16.96,normal,0,0,1
28,2026-01-01 09:06:00,7,congestion,client_1,server_1,router_1,2,client-router-server,0.81,0.1,55,38.38,100.0,100.0,81.82,9.97,0.81,2.08,5987,5863,124,16,56.87,normal,0,0,1
29,2026-01-01 09:07:00,8,low,client_3,server_1,router_1,2,client-router-server,8.06,2.11,17,40.01,23.52,19.23,38.96,7.97,8.06,0.01,1871,1870,1,1,51.29,normal,0,0,0
30,2026-01-01 09:07:00,8,medium,client_2,server_1,router_1,2,client-router-server,5.83,1.37,23,55.72,53.78,34.61,64.25,6.13,5.83,0.13,3173,3169,4,0,45.06,normal,0,0,0
31,2026-01-01 09:07:00,8,high,client_2,server_1,router_1,2,client-router-server,2.3,0.42,41,27.76,74.58,72.65,56.09,8.68,2.3,2.39,4374,4270,104,18,18.47,normal,0,0,0
32,2026-01-01 09:07:00,8,congestion,client_3,server_1,router_1,2,client-router-server,1.05,0.13,63,54.8,100.0,51.14,110.34,10.39,1.05,1.81,5657,5555,102,30,38.3,normal,0,0,1
33,2026-01-01 09:08:00,9,low,client_1,server_1,router_1,2,client-router-server,12.27,2.63,7,48.04,26.19,29.93,37.44,5.12,12.27,0.01,3519,3518,1,0,8.19,normal,0,0,0
34,2026-01-01 09:08:00,9,medium,client_2,server_1,router_1,2,client-router-server,6.23,1.29,27,65.04,69.27,39.05,64.94,11.62,6.23,1.81,1680,1650,30,24,6.37,normal,0,0,0
35,2026-01-01 09:08:00,9,high,client_2,server_1,router_1,2,client-router-server,1.82,0.59,41,72.24,100.0,83.09,122.11,11.68,1.82,3.02,2919,2831,88,10,57.21,normal,0,0,1
36,2026-01-01 09:08:00,9,congestion,client_2,server_1,router_1,2,client-router-server,0.96,0.12,55,63.11,100.0,100.0,109.03,13.22,0.96,2.74,5967,5804,163,134,41.26,normal,0,0,1
37,2026-01-01 09:09:00,10,low,client_1,server_1,router_1,2,client-router-server,12.39,1.96,6,74.89,31.01,18.23,40.37,8.56,12.39,0.01,2735,2734,1,0,44.21,normal,0,0,0
38,2026-01-01 09:09:00,10,medium,client_3,server_1,router_1,2,client-router-server,5.07,0.87,22,87.02,100.0,79.21,95.03,9.33,5.07,6.0,1592,1497,95,79,38.12,normal,0,0,1
39,2026-01-01 09:09:00,10,high,client_1,server_1,router_1,2,client-router-server,2.0,0.68,44,87.41,100.0,70.08,69.52,13.38,2.0,3.56,5598,5399,199,119,18.96,normal,0,0,1
40,2026-01-01 09:09:00,10,congestion,client_2,server_1,router_1,2,client-router-server,0.86,0.12,56,35.82,100.0,60.15,101.29,9.41,0.86,1.98,2670,2618,52,13,12.03,normal,0,0,1
41,2026-01-01 09:10:00,11,low,client_3,server_1,router_1,2,client-router-server,9.76,1.44,15,48.01,19.64,10.7,20.29,5.96,9.76,0.01,1482,1481,1,0,8.71,normal,0,0,0
42,2026-01-01 09:10:00,11,medium,client_1,server_1,router_1,2,client-router-server,4.39,1.03,21,91.61,100.0,100.0,91.17,5.76,4.39,1.77,1611,1583,28,13,8.38,normal,0,0,1
43,2026-01-01 09:10:00,11,high,client_3,server_1,router_1,2,client-router-server,1.69,0.51,53,44.94,100.0,100.0,81.51,8.29,1.69,3.69,4859,4680,179,170,52.66,normal,0,0,1
44,2026-01-01 09:10:00,11,congestion,client_1,server_1,router_1,2,client-router-server,0.78,0.11,67,22.8,100.0,61.59,85.48,3.18,0.78,2.08,1014,993,21,18,23.6,normal,0,0,1
45,2026-01-01 09:11:00,12,low,client_2,server_1,router_1,2,client-router-server,9.93,1.9,6,58.56,30.41,30.6,47.07,6.09,9.93,0.01,1772,1771,1,0,41.24,normal,0,0,0
46,2026-01-01 09:11:00,12,medium,client_3,server_1,router_1,2,client-router-server,5.23,0.79,21,56.42,41.23,36.3,35.45,5.28,5.23,0.01,5059,5058,1,0,16.18,normal,0,0,0
47,2026-01-01 09:11:00,12,high,client_1,server_1,router_1,2,client-router-server,1.62,0.41,48,77.22,100.0,64.46,108.6,9.81,1.62,2.18,2822,2761,61,23,55.81,normal,0,0,1
48,2026-01-01 09:11:00,12,congestion,client_3,server_1,router_1,2,client-router-server,0.98,0.08,57,21.98,81.03,41.64,90.16,6.81,0.98,1.52,4541,4472,69,0,28.93,normal,0,0,1
49,2026-01-01 09:12:00,13,low,client_2,server_1,router_1,2,client-router-server,10.77,2.05,12,84.79,43.97,23.85,54.77,7.77,10.77,0.01,2148,2147,1,1,15.09,normal,0,0,0
50,2026-01-01 09:12:00,13,medium,client_3,server_1,router_1,2,client-router-server,5.87,0.79,21,63.72,33.27,19.79,48.37,6.36,5.87,0.01,1723,1722,1,1,10.06,normal,0,0,0
51,2026-01-01 09:12:00,13,high,client_1,server_1,router_1,2,client-router-server,1.79,0.45,47,57.03,100.0,52.1,106.13,8.99,1.79,3.98,5496,5278,218,64,27.54,normal,0,0,1
52,2026-01-01 09:12:00,13,congestion,client_3,server_1,router_1,2,client-router-server,0.99,0.07,67,28.78,100.0,84.54,84.1,11.3,0.99,4.27,4997,4784,213,105,17.99,normal,0,0,1
53,2026-01-01 09:13:00,14,low,client_1,server_1,router_1,2,client-router-server,7.99,2.66,12,80.6,56.58,49.7,43.16,5.34,7.99,0.34,4943,4927,16,6,52.56,normal,0,0,0
54,2026-01-01 09:13:00,14,medium,client_3,server_1,router_1,2,client-router-server,4.09,1.0,27,83.83,100.0,98.8,123.84,13.07,4.09,3.64,5021,4839,182,97,21.2,normal,0,0,1
55,2026-01-01 09:13:00,14,high,client_1,server_1,router_1,2,client-router-server,2.22,0.45,51,32.7,65.78,61.95,54.68,7.19,2.22,1.31,2083,2056,27,3,53.84,normal,0,0,0
56,2026-01-01 09:13:00,14,congestion,client_3,server_1,router_1,2,client-router-server,1.14,0.14,62,48.65,100.0,59.6,107.9,12.67,1.14,3.69,5500,5298,202,140,9.88,normal,0,0,1
57,2026-01-01 09:14:00,15,low,client_1,server_1,router_1,2,client-router-server,12.13,1.48,11,20.16,10.21,7.14,20.49,6.8,12.13,0.01,2555,2554,1,1,16.97,normal,0,0,0
58,2026-01-01 09:14:00,15,medium,client_3,server_1,router_1,2,client-router-server,3.95,0.81,21,37.91,64.03,54.39,74.04,6.85,3.95,0.58,3345,3326,19,5,18.72,normal,0,0,0
59,2026-01-01 09:14:00,15,high,client_2,server_1,router_1,2,client-router-server,2.24,0.56,41,75.59,100.0,83.15,93.23,9.14,2.24,5.36,4004,3790,214,67,21.16,normal,0,0,1
60,2026-01-01 09:14:00,15,congestion,client_1,server_1,router_1,2,client-router-server,1.24,0.11,59,30.97,100.0,77.51,131.68,5.29,1.24,1.81,1832,1799,33,15,37.41,normal,0,0,1
61,2026-01-01 09:15:00,16,low,client_3,server_1,router_1,2,client-router-server,7.75,2.72,13,24.57,15.56,17.79,25.57,2.18,7.75,0.01,1556,1555,1,0,27.21,normal,0,0,0
62,2026-01-01 09:15:00,16,medium,client_2,server_1,router_1,2,client-router-server,4.34,0.94,24,85.77,100.0,65.25,66.65,9.78,4.34,4.48,4330,4137,193,140,18.93,normal,0,0,1
63,2026-01-01 09:15:00,16,high,client_1,server_1,router_1,2,client-router-server,1.96,0.64,52,79.72,100.0,93.26,97.66,9.67,1.96,1.55,2379,2343,36,15,57.21,normal,0,0,1
64,2026-01-01 09:15:00,16,congestion,client_3,server_1,router_1,2,client-router-server,0.93,0.11,63,43.15,100.0,64.15,127.23,9.29,0.93,2.65,2535,2468,67,36,5.65,normal,0,0,1
65,2026-01-01 09:16:00,17,low,client_3,server_1,router_1,2,client-router-server,7.91,2.7,8,63.42,45.14,40.43,46.14,5.54,7.91,0.01,2072,2071,1,1,30.15,normal,0,0,0
66,2026-01-01 09:16:00,17,medium,client_1,server_1,router_1,2,client-router-server,5.6,1.34,25,33.16,38.93,19.52,46.73,5.44,5.6,0.01,5782,5781,1,1,33.63,normal,0,0,0
67,2026-01-01 09:16:00,17,high,client_2,server_1,router_1,2,client-router-server,2.48,0.49,46,70.07,100.0,50.67,97.74,11.42,2.48,1.89,1256,1233,23,12,22.61,normal,0,0,1
68,2026-01-01 09:16:00,17,congestion,client_3,server_1,router_1,2,client-router-server,1.0,0.11,63,77.24,100.0,65.52,63.67,12.28,1.0,2.17,1418,1388,30,1,50.35,normal,0,0,1
69,2026-01-01 09:17:00,18,low,client_1,server_1,router_1,2,client-router-server,12.48,2.38,5,54.37,14.35,9.32,20.27,8.58,12.48,0.01,2292,2291,1,1,50.86,normal,0,0,0
70,2026-01-01 09:17:00,18,medium,client_2,server_1,router_1,2,client-router-server,5.18,1.16,26,49.28,64.68,42.34,46.98,7.17,5.18,1.27,4544,4487,57,28,24.13,normal,0,0,0
71,2026-01-01 09:17:00,18,high,client_1,server_1,router_1,2,client-router-server,1.99,0.55,42,84.61,100.0,58.08,118.61,7.25,1.99,3.06,4720,4576,144,45,48.81,normal,0,0,1
72,2026-01-01 09:17:00,18,congestion,client_2,server_1,router_1,2,client-router-server,1.1,0.08,59,90.0,100.0,100.0,95.75,9.4,1.1,3.93,1258,1209,49,12,52.84,normal,0,0,1
73,2026-01-01 09:18:00,19,low,client_3,server_1,router_1,2,client-router-server,11.59,2.4,17,69.05,25.01,24.12,41.27,2.61,11.59,0.01,3231,3230,1,1,38.27,normal,0,0,0
74,2026-01-01 09:18:00,19,medium,client_2,server_1,router_1,2,client-router-server,4.49,0.88,23,47.42,37.84,45.16,46.04,7.86,4.49,0.01,3962,3961,1,1,25.18,normal,0,0,0
75,2026-01-01 09:18:00,19,high,client_2,server_1,router_1,2,client-router-server,1.65,0.49,49,41.84,100.0,92.48,133.18,6.27,1.65,3.98,4919,4724,195,99,9.77,normal,0,0,1
76,2026-01-01 09:18:00,19,congestion,client_1,server_1,router_1,2,client-router-server,0.93,0.08,63,54.74,100.0,96.68,124.05,9.96,0.93,2.24,3971,3883,88,79,19.58,normal,0,0,1
77,2026-01-01 09:19:00,20,low,client_1,server_1,router_1,2,client-router-server,9.94,2.17,15,67.57,45.01,49.16,40.74,5.61,9.94,0.01,3145,3144,1,0,45.77,normal,0,0,0
78,2026-01-01 09:19:00,20,medium,client_1,server_1,router_1,2,client-router-server,4.49,1.25,27,21.69,33.79,38.68,33.88,5.23,4.49,0.01,4448,4447,1,0,19.34,normal,0,0,0
79,2026-01-01 09:19:00,20,high,client_3,server_1,router_1,2,client-router-server,2.36,0.43,47,32.13,91.44,99.53,123.97,11.2,2.36,2.12,5093,4986,107,74,35.78,normal,0,0,1
80,2026-01-01 09:19:00,20,congestion,client_1,server_1,router_1,2,client-router-server,1.2,0.12,61,63.14,100.0,65.92,107.13,8.7,1.2,3.23,3214,3111,103,87,20.79,normal,0,0,1
81,2026-01-01 09:20:00,21,low,client_2,server_1,router_1,2,client-router-server,11.92,1.75,13,20.73,11.51,10.15,23.36,5.41,11.92,0.01,1326,1325,1,1,16.55,normal,0,0,0
82,2026-01-01 09:20:00,21,medium,client_3,server_1,router_1,2,client-router-server,3.76,0.8,27,78.35,100.0,100.0,98.83,7.14,3.76,2.72,1821,1772,49,31,12.46,normal,0,0,1
83,2026-01-01 09:20:00,21,high,client_3,server_1,router_1,2,client-router-server,2.31,0.48,44,23.57,38.55,33.07,42.62,7.03,2.31,0.01,4187,4186,1,1,33.73,normal,0,0,0
84,2026-01-01 09:20:00,21,congestion,client_2,server_1,router_1,2,client-router-server,1.08,0.12,60,47.28,100.0,58.98,118.57,8.56,1.08,5.33,2082,1972,110,59,20.43,normal,0,0,1
85,2026-01-01 09:21:00,22,low,client_1,server_1,router_1,2,client-router-server,9.53,1.87,10,78.51,45.17,27.47,62.96,10.6,9.53,0.01,1203,1202,1,0,45.51,normal,0,0,0
86,2026-01-01 09:21:00,22,medium,client_2,server_1,router_1,2,client-router-server,4.03,1.03,26,32.64,35.67,37.63,35.82,4.5,4.03,0.01,3325,3324,1,0,34.48,normal,0,0,0
87,2026-01-01 09:21:00,22,high,client_3,server_1,router_1,2,client-router-server,2.09,0.36,40,60.66,100.0,66.7,65.11,5.16,2.09,5.99,2652,2494,158,104,41.25,normal,0,0,1
88,2026-01-01 09:21:00,22,congestion,client_2,server_1,router_1,2,client-router-server,0.98,0.12,62,89.61,100.0,90.53,86.69,10.8,0.98,1.94,2855,2800,55,25,8.08,normal,0,0,1
89,2026-01-01 09:22:00,23,low,client_2,server_1,router_1,2,client-router-server,8.74,2.62,17,70.24,29.23,28.96,35.31,2.68,8.74,0.01,3864,3863,1,1,50.13,normal,0,0,0
90,2026-01-01 09:22:00,23,medium,client_1,server_1,router_1,2,client-router-server,5.23,0.77,28,34.45,27.59,13.82,25.58,7.55,5.23,0.01,2869,2868,1,1,53.94,normal,0,0,0
91,2026-01-01 09:22:00,23,high,client_2,server_1,router_1,2,client-router-server,1.54,0.43,53,20.43,87.28,71.29,64.49,4.32,1.54,3.82,2446,2353,93,63,50.53,normal,0,0,0
92,2026-01-01 09:22:00,23,congestion,client_2,server_1,router_1,2,client-router-server,0.96,0.14,59,57.38,100.0,71.51,106.91,4.39,0.96,1.63,4729,4652,77,6,6.29,normal,0,0,1
93,2026-01-01 09:23:00,24,low,client_1,server_1,router_1,2,client-router-server,8.89,1.77,5,69.5,25.62,26.68,31.88,6.12,8.89,0.01,1226,1225,1,0,53.24,normal,0,0,0
94,2026-01-01 09:23:00,24,medium,client_1,server_1,router_1,2,client-router-server,5.88,0.71,23,46.03,47.73,30.35,67.48,11.22,5.88,0.01,5850,5849,1,0,55.79,normal,0,0,0
95,2026-01-01 09:23:00,24,high,client_1,server_1,router_1,2,client-router-server,2.22,0.61,50,30.79,69.53,48.31,75.24,6.29,2.22,1.32,3018,2979,39,15,56.69,normal,0,0,0
96,2026-01-01 09:23:00,24,congestion,client_2,server_1,router_1,2,client-router-server,1.22,0.13,67,24.87,100.0,100.0,80.14,10.04,1.22,4.53,5613,5359,254,159,49.35,normal,0,0,1
97,2026-01-01 09:24:00,25,low,client_3,server_1,router_1,2,client-router-server,9.23,2.53,9,22.87,15.23,12.27,29.04,2.94,9.23,0.01,4572,4571,1,0,33.6,normal,0,0,0
98,2026-01-01 09:24:00,25,medium,client_2,server_1,router_1,2,client-router-server,5.41,0.91,24,28.82,36.36,32.34,32.05,8.18,5.41,0.01,1140,1139,1,0,6.31,normal,0,0,0
99,2026-01-01 09:24:00,25,high,client_3,server_1,router_1,2,client-router-server,2.18,0.36,43,30.6,51.87,59.21,45.69,11.56,2.18,0.16,4411,4404,7,1,41.56,normal,0,0,0
100,2026-01-01 09:24:00,25,congestion,client_1,server_1,router_1,2,client-router-server,1.17,0.09,55,78.01,100.0,86.76,105.23,9.55,1.17,5.72,1603,1512,91,89,8.75,normal,0,0,1
101,2026-01-01 09:25:00,26,low,client_3,server_1,router_1,2,client-router-server,8.49,1.86,16,90.52,50.38,58.65,74.35,8.37,8.49,0.02,5154,5153,1,1,41.68,normal,0,0,0
102,2026-01-01 09:25:00,26,medium,client_3,server_1,router_1,2,client-router-server,4.57,0.99,24,88.25,81.2,75.46,107.11,7.22,4.57,3.07,3151,3055,96,36,30.82,normal,0,0,1
103,2026-01-01 09:25:00,26,high,client_3,server_1,router_1,2,client-router-server,2.06,0.41,53,76.34,100.0,51.36,74.82,6.82,2.06,2.16,3475,3400,75,42,50.6,normal,0,0,1
104,2026-01-01 09:25:00,26,congestion,client_3,server_1,router_1,2,client-router-server,1.25,0.09,57,92.29,100.0,100.0,75.76,9.59,1.25,4.79,2298,2188,110,94,47.54,normal,0,0,1
105,2026-01-01 09:26:00,27,low,client_3,server_1,router_1,2,client-router-server,10.82,2.25,9,61.58,25.71,26.32,28.68,6.12,10.82,0.01,2721,2720,1,1,48.22,normal,0,0,0
106,2026-01-01 09:26:00,27,medium,client_2,server_1,router_1,2,client-router-server,5.13,1.38,24,74.96,54.08,51.33,67.42,9.29,5.13,0.26,5077,5064,13,8,40.34,normal,0,0,0
107,2026-01-01 09:26:00,27,high,client_2,server_1,router_1,2,client-router-server,1.73,0.37,49,39.42,80.56,79.97,98.03,8.2,1.73,1.2,3853,3807,46,15,13.03,normal,0,0,1
108,2026-01-01 09:26:00,27,congestion,client_1,server_1,router_1,2,client-router-server,0.97,0.11,66,25.81,100.0,64.83,125.47,9.96,0.97,3.43,4038,3900,138,74,42.67,normal,0,0,1
109,2026-01-01 09:27:00,28,low,client_2,server_1,router_1,2,client-router-server,10.06,1.71,12,53.13,32.61,38.22,47.49,6.82,10.06,0.01,1765,1764,1,0,42.0,normal,0,0,0
110,2026-01-01 09:27:00,28,medium,client_3,server_1,router_1,2,client-router-server,4.04,0.71,23,54.85,48.65,31.88,58.33,9.15,4.04,0.01,2962,2961,1,1,37.79,normal,0,0,0
111,2026-01-01 09:27:00,28,high,client_1,server_1,router_1,2,client-router-server,2.28,0.49,46,66.39,100.0,100.0,100.98,6.04,2.28,4.49,1561,1491,70,54,5.23,normal,0,0,1
112,2026-01-01 09:27:00,28,congestion,client_1,server_1,router_1,2,client-router-server,1.08,0.12,62,61.78,100.0,91.28,99.38,8.66,1.08,1.86,4943,4852,91,88,12.2,normal,0,0,1
113,2026-01-01 09:28:00,29,low,client_1,server_1,router_1,2,client-router-server,9.88,1.41,7,21.83,14.14,7.79,21.32,5.86,9.88,0.01,2998,2997,1,0,41.08,normal,0,0,0
114,2026-01-01 09:28:00,29,medium,client_2,server_1,router_1,2,client-router-server,4.98,1.0,28,44.24,39.87,35.9,52.6,3.76,4.98,0.01,1005,1004,1,1,38.15,normal,0,0,0
115,2026-01-01 09:28:00,29,high,client_2,server_1,router_1,2,client-router-server,1.61,0.46,53,64.47,100.0,79.77,122.89,7.45,1.61,3.03,2220,2153,67,51,26.73,normal,0,0,1
116,2026-01-01 09:28:00,29,congestion,client_1,server_1,router_1,2,client-router-server,0.97,0.13,63,74.89,100.0,94.07,127.51,7.5,0.97,4.69,4627,4410,217,184,16.64,normal,0,0,1
117,2026-01-01 09:29:00,30,low,client_1,server_1,router_1,2,client-router-server,12.29,2.65,17,51.89,21.41,11.46,24.59,7.95,12.29,0.01,5578,5577,1,1,57.25,normal,0,0,0
118,2026-01-01 09:29:00,30,medium,client_3,server_1,router_1,2,client-router-server,4.13,0.96,20,71.71,94.3,83.01,65.3,3.63,4.13,2.65,2913,2836,77,57,46.59,normal,0,0,1
119,2026-01-01 09:29:00,30,high,client_2,server_1,router_1,2,client-router-server,1.59,0.47,41,93.21,100.0,59.42,62.15,8.51,1.59,2.03,5401,5292,109,33,58.54,normal,0,0,1
120,2026-01-01 09:29:00,30,congestion,client_3,server_1,router_1,2,client-router-server,0.92,0.14,63,28.21,100.0,93.08,96.54,7.48,0.92,2.1,2442,2391,51,43,34.62,normal,0,0,1
121,2026-01-01 09:30:00,31,low,client_3,server_1,router_1,2,client-router-server,11.65,1.78,18,73.95,32.95,37.17,47.77,5.49,11.65,0.01,5270,5269,1,1,39.47,normal,0,0,0
122,2026-01-01 09:30:00,31,medium,client_1,server_1,router_1,2,client-router-server,4.79,1.04,21,49.93,69.9,55.42,76.45,8.26,4.79,0.7,1167,1159,8,8,20.42,normal,0,0,0
123,2026-01-01 09:30:00,31,high,client_2,server_1,router_1,2,client-router-server,1.72,0.57,53,24.07,74.47,71.87,80.67,12.99,1.72,2.87,4444,4317,127,92,24.54,normal,0,0,1
124,2026-01-01 09:30:00,31,congestion,client_3,server_1,router_1,2,client-router-server,1.04,0.13,55,56.12,100.0,99.7,98.55,9.86,1.04,4.38,2171,2076,95,35,23.9,normal,0,0,1
125,2026-01-01 09:31:00,32,low,client_1,server_1,router_1,2,client-router-server,9.1,1.69,16,41.43,23.49,14.02,26.0,7.32,9.1,0.01,5445,5444,1,1,27.87,normal,0,0,0
126,2026-01-01 09:31:00,32,medium,client_2,server_1,router_1,2,client-router-server,5.87,0.87,29,66.03,47.05,33.45,61.0,8.0,5.87,0.01,1074,1073,1,1,42.14,normal,0,0,0
127,2026-01-01 09:31:00,32,high,client_3,server_1,router_1,2,client-router-server,2.5,0.65,41,90.62,100.0,81.0,70.5,5.47,2.5,2.74,5696,5540,156,88,42.75,normal,0,0,1
128,2026-01-01 09:31:00,32,congestion,client_1,server_1,router_1,2,client-router-server,0.79,0.13,66,29.67,100.0,55.88,73.03,11.8,0.79,3.04,3800,3685,115,94,47.84,normal,0,0,1
129,2026-01-01 09:32:00,33,low,client_2,server_1,router_1,2,client-router-server,10.98,2.16,11,87.86,51.43,53.28,54.92,3.16,10.98,0.14,4432,4426,6,4,46.11,normal,0,0,0
130,2026-01-01 09:32:00,33,medium,client_1,server_1,router_1,2,client-router-server,3.76,0.94,24,33.06,27.5,15.29,37.71,4.89,3.76,0.01,4263,4262,1,0,23.02,normal,0,0,0
131,2026-01-01 09:32:00,33,high,client_1,server_1,router_1,2,client-router-server,1.7,0.6,47,70.0,100.0,100.0,90.77,6.23,1.7,3.43,4833,4668,165,120,47.02,normal,0,0,1
132,2026-01-01 09:32:00,33,congestion,client_2,server_1,router_1,2,client-router-server,0.82,0.08,58,42.95,100.0,86.9,118.26,13.25,0.82,4.95,1292,1229,63,44,8.81,normal,0,0,1
133,2026-01-01 09:33:00,34,low,client_3,server_1,router_1,2,client-router-server,9.93,2.23,8,56.62,25.97,25.14,39.93,7.9,9.93,0.01,5375,5374,1,0,54.88,normal,0,0,0
134,2026-01-01 09:33:00,34,medium,client_2,server_1,router_1,2,client-router-server,3.82,1.13,24,83.44,80.74,68.57,101.73,4.06,3.82,1.94,2744,2691,53,14,41.14,normal,0,0,1
135,2026-01-01 09:33:00,34,high,client_2,server_1,router_1,2,client-router-server,1.69,0.63,42,33.58,83.57,98.36,69.4,10.65,1.69,2.46,1758,1715,43,42,45.29,normal,0,0,0
